dataset,algorithm,n,k,id,time,mst_cost,min_dist,kmeans_loss,smallest_cluster,seed,min_size,min_dist_upper_bound,search_all
letter,fs,20000,26,3,1.3553564548492432,4.999999999999922,0.19999999999999565,6146.00688979298,219,,290.0,,
letter,fs,20000,26,9,1.3410124778747559,4.999999999999963,0.19999999999999565,6327.242275404264,174,,233.0,,
letter,fs,20000,26,5,1.3448615074157715,4.999999999999963,0.19999999999999565,6327.242275404264,174,,230.0,,
letter,fs,20000,26,6,1.3517587184906006,4.9999999999999325,0.19999999999999565,6126.123388294311,207,,277.0,,
letter,fs,20000,26,7,1.3264045715332031,4.771236166328263,0.18856180831640976,6242.896022790887,230,,307.0,,
letter,fs,20000,26,9,1.3410124778747559,4.999999999999963,0.19999999999999565,6327.242275404264,174,,233.0,,
letter,fs,20000,26,9,1.3410124778747559,4.999999999999963,0.19999999999999565,6327.242275404264,174,,233.0,,
letter,fs,20000,26,10,1.3516311645507812,4.999999999999922,0.19999999999999565,6146.00688979298,219,,291.0,,
mice,fs,552,8,1,0.01489114761352539,5.615448329754027,0.7871369626590233,2589.3585680630986,48,,63.0,,
mice,fs,552,8,10,0.014701128005981445,5.675364041802357,0.7930303259869314,2617.5399820737634,46,,62.0,,
mice,fs,552,8,4,0.014756917953491211,5.5470100067424895,0.7803279301665138,2739.887163944726,49,,66.0,,
mice,fs,552,8,4,0.014756917953491211,5.5470100067424895,0.7803279301665138,2739.887163944726,49,,66.0,,
mice,fs,552,8,5,0.01584911346435547,5.498621472590406,0.7712999291419969,2590.250035459211,56,,70.0,,
mice,fs,552,8,10,0.014701128005981445,5.675364041802357,0.7930303259869314,2617.5399820737634,46,,62.0,,
mice,fs,552,8,7,0.0149078369140625,5.615448329754027,0.7871369626590233,2589.3585680630986,48,,65.0,,
mice,fs,552,8,8,0.015295743942260742,5.882841923913645,0.8253654352546358,2377.907500252665,44,,58.0,,
mice,fs,552,8,9,0.01540994644165039,5.882841923913645,0.8253654352546358,2377.907500252665,44,,59.0,,
mice,fs,552,8,10,0.014701128005981445,5.675364041802357,0.7930303259869314,2617.5399820737634,46,,62.0,,
newsgroups,fs,18846,20,1,2.15220046043396,18.999999999999996,0.9999999999999997,17775.733708721007,241,,322.0,,
newsgroups,fs,18846,20,2,2.163668632507324,18.999999999999996,0.9999999999999997,17777.060197219984,186,,249.0,,
newsgroups,fs,18846,20,3,2.2101941108703613,18.999999999999996,0.9999999999999997,17776.39342369644,224,,299.0,,
newsgroups,fs,18846,20,9,1.9588098526000977,19.0,0.9999999999999999,17780.56102366964,1,,2.0,,
newsgroups,fs,18846,20,5,2.4501874446868896,18.999999999999996,0.9999999999999997,17775.50982100272,276,,369.0,,
newsgroups,fs,18846,20,6,2.175663709640503,18.999999999999996,0.9999999999999997,17776.80412840664,198,,265.0,,
newsgroups,fs,18846,20,7,2.2740635871887207,18.999999999999996,0.9999999999999997,17776.597696981313,221,,295.0,,
newsgroups,fs,18846,20,8,2.477245330810547,18.999999999999996,0.9999999999999997,17775.558487403745,288,,385.0,,
newsgroups,fs,18846,20,9,1.9588098526000977,19.0,0.9999999999999999,17780.56102366964,1,,2.0,,
newsgroups,fs,18846,20,10,2.3443846702575684,18.999999999999996,0.9999999999999997,17775.829769440978,245,,327.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,5,0.7005956172943115,215.14411739829643,23.895606290697042,107977919.21949446,483,,619.0,,
pendigits,fs,10992,10,6,0.6998722553253174,215.14411739829643,23.895606290697042,107977919.21949446,483,,570.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,9,0.6391737461090088,215.14411739829643,23.895606290697042,107977919.21949446,483,,622.0,,
pendigits,fs,10992,10,10,0.704829216003418,214.80908906198852,23.83275057562597,108112221.00597198,485,,647.0,,
sensorless,fs,58509,11,1,5.654959678649902,1.4602856417315946,0.1457072132061918,19386.297424776865,1221,,1593.0,,
sensorless,fs,58509,11,10,5.8505024909973145,1.1308512633324328,0.11300823585383783,22656.08301991752,2597,,3382.0,,
sensorless,fs,58509,11,5,5.573545694351196,1.4824901965596846,0.1478964433660446,16065.68150657534,1178,,1125.0,,
sensorless,fs,58509,11,4,5.661068677902222,1.1651628342862284,0.11637927476195493,19974.90881267688,2104,,2718.0,,
sensorless,fs,58509,11,5,5.573545694351196,1.4824901965596846,0.1478964433660446,16065.68150657534,1178,,1125.0,,
sensorless,fs,58509,11,10,5.8505024909973145,1.1308512633324328,0.11300823585383783,22656.08301991752,2597,,3382.0,,
sensorless,fs,58509,11,9,5.592324256896973,1.4824901965596846,0.1478964433660446,16065.68150657534,1178,,997.0,,
sensorless,fs,58509,11,10,5.8505024909973145,1.1308512633324328,0.11300823585383783,22656.08301991752,2597,,3382.0,,
sensorless,fs,58509,11,9,5.592324256896973,1.4824901965596846,0.1478964433660446,16065.68150657534,1178,,997.0,,
sensorless,fs,58509,11,10,5.8505024909973145,1.1308512633324328,0.11300823585383783,22656.08301991752,2597,,3382.0,,
vowel,fs,990,11,6,0.028100013732910156,4.911672162712241,0.48148263960138377,1174.5965657741392,61,,82.0,,
vowel,fs,990,11,2,0.02703547477722168,4.936293689839248,0.4853712419906784,1214.2155190707429,58,,78.0,,
vowel,fs,990,11,3,0.02623915672302246,5.041258998898683,0.4969284575362553,1187.2566095883644,52,,70.0,,
vowel,fs,990,11,4,0.05744767189025879,4.911947226650803,0.48164262326755736,1220.7374505816686,60,,81.0,,
vowel,fs,990,11,10,0.03935647010803223,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,,79.0,,
vowel,fs,990,11,6,0.028100013732910156,4.911672162712241,0.48148263960138377,1174.5965657741392,61,,82.0,,
vowel,fs,990,11,10,0.03935647010803223,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,,79.0,,
vowel,fs,990,11,8,0.025882959365844727,4.975710489463343,0.4916339909233291,1228.7408886573432,56,,75.0,,
vowel,fs,990,11,9,0.056349992752075195,5.0467064730659885,0.4967183226694283,1152.4012860547823,54,,73.0,,
vowel,fs,990,11,10,0.03935647010803223,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,,79.0,,
anuran,cm,7195,10,1,5.979796648025513,2.348996259648358,0.26009002841336937,2303.7417979117363,118,1.0,158.0,2.904200055653382,True
anuran,cm,7195,10,2,6.4101738929748535,1.7906540934405304,0.02907931928779236,2143.7607358394644,275,1.0,366.0,2.351817082054777,True
anuran,cm,7195,10,3,6.273914575576782,1.6651842787543032,0.02907931928779236,2249.2411065266356,355,1.0,447.0,2.178313104989738,True
anuran,cm,7195,10,4,5.481099843978882,1.9048497331323817,0.06495787037862245,2090.3570852009198,269,1.0,359.0,2.3711252836160934,True
anuran,cm,7195,10,5,4.974721431732178,2.426347737112099,0.2673681331881808,2238.178008439908,98,1.0,126.0,3.068854667563562,True
anuran,cm,7195,10,6,5.880918025970459,1.909973970175006,0.06495787037862245,2095.400048813323,268,1.0,358.0,2.373085053885696,True
anuran,cm,7195,10,7,6.448529005050659,1.7280622436388613,0.02907931928779236,2193.7518756815953,296,1.0,391.0,2.2996251875444456,True
anuran,cm,7195,10,8,6.196815729141235,1.8528616613758553,0.06495787037862245,2157.4316761654554,273,1.0,365.0,2.353456495346086,True
anuran,cm,7195,10,9,6.793208122253418,1.3775458203104154,0.02907931928779236,2541.371402690155,381,1.0,509.0,2.0793417800018283,True
anuran,cm,7195,10,10,6.541180610656738,1.6651842787543032,0.02907931928779236,2249.2411065266356,355,1.0,449.0,2.1776855383182925,True
avila,cm,20867,12,1,58.48556995391846,0.8607147309571668,0.000902616651376294,595.7057887118178,80,1.0,106.0,1.5104177622418447,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,10,57.60917019844055,0.9209683549780777,0.0008171248494204506,609.6363802562485,74,1.0,98.0,1.5720058495215516,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,10,57.60917019844055,0.9209683549780777,0.0008171248494204506,609.6363802562485,74,1.0,98.0,1.5720058495215516,True
avila,cm,20867,12,9,58.931108474731445,0.7482664032095213,0.06716651633605845,567.7449252178659,92,1.0,119.0,1.4343881030948713,True
avila,cm,20867,12,10,57.60917019844055,0.9209683549780777,0.0008171248494204506,609.6363802562485,74,1.0,98.0,1.5720058495215516,True
collins,cm,1000,30,1,4.456904888153076,12.467414761997144,0.41940896521943943,407.0675381522879,7,1.0,10.0,13.838884330592492,True
collins,cm,1000,30,7,4.551202297210693,12.084430815386376,0.4098383214780822,406.47469290726457,8,1.0,11.0,13.565329851683936,True
collins,cm,1000,30,3,4.677215099334717,11.42101141192521,0.388775216774479,407.5889377506381,11,1.0,15.0,12.964487959634992,True
collins,cm,1000,30,4,4.583077669143677,11.835461117343732,0.4026657656222413,408.5633294260626,9,1.0,13.0,13.351807490830327,True
collins,cm,1000,30,5,4.134101867675781,14.468955293145463,0.4820545396808301,402.76109660870367,3,1.0,5.0,15.506804960374325,True
collins,cm,1000,30,9,4.198270082473755,12.785118752975192,0.42887753880662305,404.72119327181866,6,1.0,9.0,14.145684170945778,True
collins,cm,1000,30,7,4.551202297210693,12.084430815386376,0.4098383214780822,406.47469290726457,8,1.0,11.0,13.565329851683936,True
collins,cm,1000,30,8,5.170883417129517,11.084989789859689,0.3780039683293321,399.6291196537745,14,1.0,19.0,12.498936569844735,True
collins,cm,1000,30,9,4.198270082473755,12.785118752975192,0.42887753880662305,404.72119327181866,6,1.0,9.0,14.145684170945778,True
